threshold,dice
0.1,0.5929573
0.11,0.60491973
0.12,0.6152879
0.13,0.62447315
0.13999999999999999,0.632295
0.14999999999999997,0.6394587
0.15999999999999998,0.6456111
0.16999999999999998,0.6511935
0.17999999999999997,0.6560584
0.18999999999999995,0.66034114
0.19999999999999996,0.66411054
0.20999999999999996,0.6673061
0.21999999999999995,0.670112
0.22999999999999995,0.67275375
0.23999999999999994,0.67490786
0.24999999999999992,0.67652833
0.2599999999999999,0.6781624
0.2699999999999999,0.67962414
0.2799999999999999,0.68074894
0.2899999999999999,0.6815308
0.29999999999999993,0.68230313
0.30999999999999994,0.6829832
0.3199999999999999,0.6834153
0.32999999999999985,0.6837966
0.33999999999999986,0.6840001
0.34999999999999987,0.684011
0.3599999999999999,0.68393576
0.3699999999999999,0.68365204
0.3799999999999999,0.68350136
0.3899999999999999,0.683011
0.3999999999999998,0.68261606
0.4099999999999998,0.68199927
0.4199999999999998,0.6815658
0.4299999999999998,0.6810398
0.43999999999999984,0.6803424
0.44999999999999984,0.6796817
0.45999999999999985,0.6789312
0.46999999999999986,0.6782955
0.47999999999999976,0.6773039
0.48999999999999977,0.6765354
0.4999999999999998,0.67541915
0.5099999999999998,0.6741472
0.5199999999999998,0.6728902
0.5299999999999998,0.67157227
0.5399999999999998,0.67025805
0.5499999999999998,0.6690266
0.5599999999999997,0.66735584
0.5699999999999997,0.6655509
0.5799999999999997,0.66401803
0.5899999999999997,0.6620969
0.5999999999999998,0.6599329
0.6099999999999998,0.6579975
0.6199999999999998,0.6557652
0.6299999999999997,0.65362084
0.6399999999999997,0.6509941
0.6499999999999997,0.6483398
0.6599999999999997,0.64559454
0.6699999999999997,0.642693
0.6799999999999997,0.6395017
0.6899999999999997,0.6362744
0.6999999999999996,0.63282937
0.7099999999999996,0.6291529
0.7199999999999996,0.6254437
0.7299999999999996,0.62131685
0.7399999999999997,0.61689186
0.7499999999999997,0.6120695
0.7599999999999997,0.60723543
0.7699999999999997,0.6020954
0.7799999999999997,0.59635967
0.7899999999999996,0.5906779
0.7999999999999996,0.5835703
0.8099999999999996,0.57628584
0.8199999999999996,0.56866056
0.8299999999999996,0.55985314
0.8399999999999996,0.5498085
0.8499999999999996,0.53908145
0.8599999999999995,0.5271443
0.8699999999999996,0.5138775
0.8799999999999996,0.49821314
0.8899999999999996,0.4806179
